row,date,signal_id,ticker,politician,sig_action,trade_price,current_price,price_change_pct,days_since_trade,decision,reason,score,time_decay,price_move,pos_size,pol_skill,src_qual,position_size_usd,cash_before,cash_after,open_positions
237,2026-01-16,"ct_10000064448",AMAT,"Markwayne Mullin",BUY,263.05,327.01,24.31,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
238,2026-01-16,"ct_10000064449",COST,"Markwayne Mullin",BUY,867.84,963.61,11.04,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
239,2026-01-16,"ct_10000064450",ISRG,"Markwayne Mullin",BUY,575.40,535.00,-7.02,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
240,2026-01-16,"ct_10000064451",HD,"Markwayne Mullin",BUY,347.45,380.17,9.42,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
241,2026-01-16,"ct_10000064452",INTU,"Markwayne Mullin",BUY,672.91,545.29,-18.97,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
242,2026-01-16,"ct_10000064453",NOW,"Markwayne Mullin",BUY,154.58,127.31,-17.64,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
243,2026-01-16,"ct_10000064454",COP,"Markwayne Mullin",BUY,92.63,98.19,6.00,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
244,2026-01-16,"ct_20003794810",BR,"Dan Newhouse",BUY,223.17,218.64,-2.03,16,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
245,2026-01-16,"ct_20003794818",RCL,"Dan Newhouse",BUY,278.92,276.01,-1.04,16,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
246,2026-01-16,"ct_20003794820",SNPS,"Dan Newhouse",BUY,469.72,516.31,9.92,16,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
247,2026-01-19,"ct_20003794830",GOOGL,"Cleo Fields",BUY,313.51,330.00,5.26,24,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
248,2026-01-19,"ct_20003794831",FIG,"Cleo Fields",SELL,38.54,29.57,-23.27,24,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
249,2026-01-19,"ct_20003794832",FIG,"Cleo Fields",SELL,38.54,29.57,-23.27,24,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
250,2026-01-19,"ct_20003794833",IREN,"Cleo Fields",SELL,40.30,57.82,43.47,24,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
251,2026-01-19,"ct_20003794834",OPEN,"Cleo Fields",SELL,6.01,6.67,10.98,24,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
252,2026-01-20,"sig_1769470487342_8ali33wzk",XYZ,"John Smith",BUY,50.00,62.50,25.00,19,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
253,2026-01-20,"ct_10000064455",WPC,"Gary Peters",BUY,66.78,69.93,4.72,8,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
254,2026-01-20,"ct_10000064456",SWK,"Gary Peters",BUY,82.41,80.74,-2.03,8,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
255,2026-01-20,"sig_1769470514137_6vh5gm1pu",SMCI,"Mark Green",BUY,40.00,55.00,37.50,5,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
256,2026-01-20,"sig_1769476491396_phobdd9gk",SMCI2,"Mark Green",BUY,40.00,55.00,37.50,5,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
257,2026-01-20,"sig_1769535114560_f2yko3jun",SMCI3,"Mark Green",BUY,40.00,55.00,37.50,5,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
258,2026-01-25,"sig_1769470511317_2ijes90wk",MSFT,"Josh Gottheimer",BUY,420.00,422.00,0.48,2,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
259,2026-01-25,"sig_1769469572711_togfo0al0",NVDA,"Nancy Pelosi",BUY,140.00,142.00,1.43,1,BUY,"1.261 shares @ $142.00",0.8956,0.9330,0.9429,1.0000,0.7000,0.9000,179.12,659.44,480.32,4
260,2026-01-25,"sig_1769469786132_784x92i0c",NVDA,"Nancy Pelosi",BUY,140.00,142.00,1.43,1,SKIP,"Already bought NVDA today",,,,,,,,480.32,480.32,4
261,2026-01-25,"sig_1769470512784_7bjyyy8jm",GOOGL,"Nancy Pelosi",BUY,15.50,16.00,3.23,1,BUY,"10.533 shares @ $16.00",0.8427,0.9330,0.8710,0.8000,0.7000,0.8500,168.53,480.32,311.79,5
262,2026-01-26,"sig_1769537208744_d9o1jixkl",TSLA,"Nancy Pelosi",BUY,400.00,405.00,1.25,1,BUY,"0.428 shares @ $405.00",0.8674,0.9330,0.9500,0.8000,0.7000,0.9000,173.48,311.79,138.31,6
263,2026-01-27,"sig_1769830236525_eijv5nb1j",FLR,"Steve Cohen",SELL,40.40,45.99,13.84,29,SKIP,"No position to sell",,,,,,,,138.31,138.31,6
264,2026-01-27,"sig_1769830236586_lfq6a2rxn",NOC,"Steve Cohen",SELL,577.78,678.74,17.47,29,SKIP,"No position to sell",,,,,,,,138.31,138.31,6
